"game_id","stadium","given_date","given_time","given_lat","given_lon","timestamp_lcl","temperature_air_2m_f","temperature_wetbulb_2m_f","temperature_dewpoint_2m_f","temperature_feelslike_2m_f","temperature_windchill_2m_f","temperature_heatindex_2m_f","humidity_relative_2m_pct","humidity_specific_2m_gpkg","pressure_2m_mb","pressure_mean_sea_level_mb","wind_speed_10m_mph","wind_direction_10m_deg","precipitation_in","snowfall_in","cloud_cover_pct"
"200509120atl","Georgia Dome","2005-09-11","09:05:00","33.7577","-84.4008","2005-09-11 21:00:00","72","67.2","64.9","76.3","72","76.3","79","13.3","990.5","1020.9","4","50","0","0","0"
"200009030atl","Georgia Dome","2000-09-02","01:02:00","33.7577","-84.4008","2000-09-02 13:00:00","78.1","72.3","70","81.8","78.1","81.8","76","16","983.7","1014.1","4","40","0","0","100"
"200501160phi","Lincoln Financial Field","2005-01-15","01:06:00","39.9008","-75.1675","2005-01-15 13:00:00","30.2","25","12.2","25.4","25.4","30.2","47","1.6","1038.4","1040.6","4","40","0","0","100"
"200412260nyj","Giants Stadium","2004-12-25","04:05:00","40.8128","-74.0742","2004-12-25 16:00:00","33.1","27.7","16","28.7","28.7","33.1","49","1.9","1025","1025.4","4","40","0","0","0"
"200011190sfo","3Com Park","2000-11-18","04:16:00","37.7159","-122.388","2000-11-18 13:00:00","55","49.7","45","54.4","54.4","55","69","6.2","1026.8","1027.3","4","30","0","0","88"
"200611050sfo","Monster Park","2006-11-04","04:05:00","37.7138","-122.385","2006-11-04 13:00:00","62.1","57.8","55","62.1","62.1","62.1","78","9.1","1019","1022.2","4","30","0","0","88"
"200112030jax","Alltel Stadium","2001-12-02","09:07:00","30.324","-81.6373","2001-12-02 21:00:00","68","65.6","64.4","68","68","68","88","12.7","1020.5","1020.7","4","30","0","0","50"
"200309210atl","Georgia Dome","2003-09-20","01:03:00","33.7577","-84.4008","2003-09-20 13:00:00","84.9","69.5","62.1","86.2","84.9","86.2","46","12","989.6","1019.9","4","30","0","0","0"
"200112020nor","Louisiana Superdome","2001-12-01","01:03:00","29.9511","-90.0812","2001-12-01 12:00:00","66","55.3","46.9","66","66","66","50","6.7","1023","1023.3","4","30","0","0","0"
"200012170car","Ericsson Stadium","2000-12-16","01:04:00","35.2258","-80.8528","2000-12-16 13:00:00","37","37","37","33.3","33.3","37","100","4.7","992.4","1020.7","4","20","0","0","100"
"200112090cin","Paul Brown Stadium","2001-12-08","01:02:00","39.0955","-84.5161","2001-12-08 13:00:00","48","47","46","46.2","46.2","48","93","6.6","995.5","1013.5","4","20","0","0","100"
